item                                           mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
migrationRateSMi2_Spain_to_Hubei-China         0.57435  0.003228 0.046052 0.567307 0.497499 0.670943 199039.0 203.5028 0.572564
migrationRateSMi2_Spain_to_Italy               0.67626  0.002671 0.037914 0.670849 0.611595 0.754992 201021.9 201.4953 0.675221
migrationRateSMi2_Spain_to_OtherEuropean       9.800882 0.213784 2.887209 9.707209 4.308288 15.16780 222077.5 182.3912 9.354756
samplingProportionSVi0_endtime                 0.11381  0.000425 0.039624 0.108234 0.044419 0.192521 4669.560 8674.262 0.107202
samplingProportionSVi0_France                  0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi0_Germany                 0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi0_Hubei-China             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi0_Italy                   0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi0_OtherEuropean           0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi0_Spain                   0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi1_endtime                 0.19881  0.000425 0.039624 0.193234 0.129419 0.277521 4669.560 8674.262 0.19509 
samplingProportionSVi1_France                  0.045971 0.000413 0.015655 0.044301 0.019281 0.077723 28217.99 1435.431 0.043212
samplingProportionSVi1_Germany                 0.051483 9.66E-5  0.00697  0.053203 0.037712 0.06     7779.530 5206.612 0.050943
samplingProportionSVi1_Hubei-China             0.094545 4.26E-5  0.002392 0.095338 0.089694 0.096999 12848.29 3152.557 0.094514
samplingProportionSVi1_Italy                   0.009708 1.45E-5  0.001063 0.009982 0.007599 0.010999 7555.274 5361.155 0.009643
samplingProportionSVi1_OtherEuropean           0.017695 0.000127 0.004993 0.017937 0.009153 0.025999 26363.33 1536.413 0.016888
samplingProportionSVi1_Spain                   0.04752  0.000115 0.006161 0.049116 0.035151 0.054999 14013.78 2890.368 0.047066
samplingProportionSVi2_France                  0.045971 0.000413 0.015655 0.044301 0.019281 0.077723 28217.99 1435.431 0.043212
samplingProportionSVi2_Germany                 0.051483 9.66E-5  0.00697  0.053203 0.037712 0.06     7779.530 5206.612 0.050943
samplingProportionSVi2_Hubei-China             0        0        0        0        0        0        NaN      NaN      NaN     
samplingProportionSVi2_Italy                   0.009708 1.45E-5  0.001063 0.009982 0.007599 0.010999 7555.274 5361.155 0.009643
samplingProportionSVi2_OtherEuropean           0.017695 0.000127 0.004993 0.017937 0.009153 0.025999 26363.33 1536.413 0.016888
samplingProportionSVi2_Spain                   0.04752  0.000115 0.006161 0.049116 0.035151 0.054999 14013.78 2890.368 0.047066
removalProbSV                                  1        0        0        1        1        1        NaN      NaN      1       
scaleParamGLM                                  0.909771 0.009101 0.127816 0.92482  0.651082 1.139046 205379.7 197.2199 0.90001 
